Category Code,Diagnosis Code,Full Code,Abbreviated Description,Full Description,Category Title
A00,0,A000,"Cholera due to Vibrio cholerae 01, biovar cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae",Cholera
A00,1,A001,"Cholera due to Vibrio cholerae 01, biovar eltor","Cholera due to Vibrio cholerae 01, biovar eltor",Cholera
A00,9,A009,"Cholera, unspecified","Cholera, unspecified",Cholera
A010,0,A0100,"Typhoid fever, unspecified","Typhoid fever, unspecified",Typhoid fever
A010,1,A0101,Typhoid meningitis,Typhoid meningitis,Typhoid fever
A010,2,A0102,Typhoid fever with heart involvement,Typhoid fever with heart involvement,Typhoid fever
A010,3,A0103,Typhoid pneumonia,Typhoid pneumonia,Typhoid fever
A010,4,A0104,Typhoid arthritis,Typhoid arthritis,Typhoid fever
A010,5,A0105,Typhoid osteomyelitis,Typhoid osteomyelitis,Typhoid fever
A010,9,A0109,Typhoid fever with other complications,Typhoid fever with other complications,Typhoid fever
A011,,A011,Paratyphoid fever A,Paratyphoid fever A,Paratyphoid fever A
A012,,A012,Paratyphoid fever B,Paratyphoid fever B,Paratyphoid fever B
A013,,A013,Paratyphoid fever C,Paratyphoid fever C,Paratyphoid fever C
A014,,A014,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified","Paratyphoid fever, unspecified"
A02,0,A020,Salmonella enteritis,Salmonella enteritis,Other salmonella infections
A02,1,A021,Salmonella sepsis,Salmonella sepsis,Other salmonella infections
A022,0,A0220,"Localized salmonella infection, unspecified","Localized salmonella infection, unspecified",Localized salmonella infections
A022,1,A0221,Salmonella meningitis,Salmonella meningitis,Localized salmonella infections
A022,2,A0222,Salmonella pneumonia,Salmonella pneumonia,Localized salmonella infections
A022,3,A0223,Salmonella arthritis,Salmonella arthritis,Localized salmonella infections
A022,4,A0224,Salmonella osteomyelitis,Salmonella osteomyelitis,Localized salmonella infections
A022,5,A0225,Salmonella pyelonephritis,Salmonella pyelonephritis,Localized salmonella infections
A022,9,A0229,Salmonella with other localized infection,Salmonella with other localized infection,Localized salmonella infections
A028,,A028,Other specified salmonella infections,Other specified salmonella infections,Other specified salmonella infections
A029,,A029,"Salmonella infection, unspecified","Salmonella infection, unspecified","Salmonella infection, unspecified"
A03,0,A030,Shigellosis due to Shigella dysenteriae,Shigellosis due to Shigella dysenteriae,Shigellosis
A03,1,A031,Shigellosis due to Shigella flexneri,Shigellosis due to Shigella flexneri,Shigellosis
A03,2,A032,Shigellosis due to Shigella boydii,Shigellosis due to Shigella boydii,Shigellosis
A03,3,A033,Shigellosis due to Shigella sonnei,Shigellosis due to Shigella sonnei,Shigellosis
A03,8,A038,Other shigellosis,Other shigellosis,Shigellosis
A03,9,A039,"Shigellosis, unspecified","Shigellosis, unspecified",Shigellosis
A04,0,A040,Enteropathogenic Escherichia coli infection,Enteropathogenic Escherichia coli infection,Other bacterial intestinal infections
A04,1,A041,Enterotoxigenic Escherichia coli infection,Enterotoxigenic Escherichia coli infection,Other bacterial intestinal infections
A04,2,A042,Enteroinvasive Escherichia coli infection,Enteroinvasive Escherichia coli infection,Other bacterial intestinal infections
A04,3,A043,Enterohemorrhagic Escherichia coli infection,Enterohemorrhagic Escherichia coli infection,Other bacterial intestinal infections
A04,4,A044,Other intestinal Escherichia coli infections,Other intestinal Escherichia coli infections,Other bacterial intestinal infections
A04,5,A045,Campylobacter enteritis,Campylobacter enteritis,Other bacterial intestinal infections
A04,6,A046,Enteritis due to Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica,Other bacterial intestinal infections
A047,1,A0471,"Enterocolitis due to Clostridium difficile, recurrent","Enterocolitis due to Clostridium difficile, recurrent",Enterocolitis due to Clostridium difficile
A047,2,A0472,"Enterocolitis d/t Clostridium difficile, not spcf as recur","Enterocolitis due to Clostridium difficile, not specified as recurrent",Enterocolitis due to Clostridium difficile
A048,,A048,Other specified bacterial intestinal infections,Other specified bacterial intestinal infections,Other specified bacterial intestinal infections
A049,,A049,"Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified"
A05,0,A050,Foodborne staphylococcal intoxication,Foodborne staphylococcal intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,1,A051,Botulism food poisoning,Botulism food poisoning,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,2,A052,Foodborne Clostridium perfringens intoxication,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,3,A053,Foodborne Vibrio parahaemolyticus intoxication,Foodborne Vibrio parahaemolyticus intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,4,A054,Foodborne Bacillus cereus intoxication,Foodborne Bacillus cereus intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,5,A055,Foodborne Vibrio vulnificus intoxication,Foodborne Vibrio vulnificus intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,8,A058,Other specified bacterial foodborne intoxications,Other specified bacterial foodborne intoxications,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,9,A059,"Bacterial foodborne intoxication, unspecified","Bacterial foodborne intoxication, unspecified","Other bacterial foodborne intoxications, not elsewhere classified"
A06,0,A060,Acute amebic dysentery,Acute amebic dysentery,Amebiasis
A06,1,A061,Chronic intestinal amebiasis,Chronic intestinal amebiasis,Amebiasis
A06,2,A062,Amebic nondysenteric colitis,Amebic nondysenteric colitis,Amebiasis
A06,3,A063,Ameboma of intestine,Ameboma of intestine,Amebiasis
A06,4,A064,Amebic liver abscess,Amebic liver abscess,Amebiasis
A06,5,A065,Amebic lung abscess,Amebic lung abscess,Amebiasis
A06,6,A066,Amebic brain abscess,Amebic brain abscess,Amebiasis
A06,7,A067,Cutaneous amebiasis,Cutaneous amebiasis,Amebiasis
A068,1,A0681,Amebic cystitis,Amebic cystitis,Amebic infection of other sites
A068,2,A0682,Other amebic genitourinary infections,Other amebic genitourinary infections,Amebic infection of other sites
A068,9,A0689,Other amebic infections,Other amebic infections,Amebic infection of other sites
A069,,A069,"Amebiasis, unspecified","Amebiasis, unspecified","Amebiasis, unspecified"
A07,0,A070,Balantidiasis,Balantidiasis,Other protozoal intestinal diseases
A07,1,A071,Giardiasis [lambliasis],Giardiasis [lambliasis],Other protozoal intestinal diseases
A07,2,A072,Cryptosporidiosis,Cryptosporidiosis,Other protozoal intestinal diseases
A07,3,A073,Isosporiasis,Isosporiasis,Other protozoal intestinal diseases
A07,4,A074,Cyclosporiasis,Cyclosporiasis,Other protozoal intestinal diseases
A07,8,A078,Other specified protozoal intestinal diseases,Other specified protozoal intestinal diseases,Other protozoal intestinal diseases
A07,9,A079,"Protozoal intestinal disease, unspecified","Protozoal intestinal disease, unspecified",Other protozoal intestinal diseases
A08,0,A080,Rotaviral enteritis,Rotaviral enteritis,Viral and other specified intestinal infections
A081,1,A0811,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent and other small round viruses
A081,9,A0819,Acute gastroenteropathy due to other small round viruses,Acute gastroenteropathy due to other small round viruses,Acute gastroenteropathy due to Norwalk agent and other small round viruses
A082,,A082,Adenoviral enteritis,Adenoviral enteritis,Adenoviral enteritis
A083,1,A0831,Calicivirus enteritis,Calicivirus enteritis,Other viral enteritis
A083,2,A0832,Astrovirus enteritis,Astrovirus enteritis,Other viral enteritis
A083,9,A0839,Other viral enteritis,Other viral enteritis,Other viral enteritis
A084,,A084,"Viral intestinal infection, unspecified","Viral intestinal infection, unspecified","Viral intestinal infection, unspecified"
A088,,A088,Other specified intestinal infections,Other specified intestinal infections,Other specified intestinal infections
A09,,A09,"Infectious gastroenteritis and colitis, unspecified","Infectious gastroenteritis and colitis, unspecified","Infectious gastroenteritis and colitis, unspecified"
A15,0,A150,Tuberculosis of lung,Tuberculosis of lung,Respiratory tuberculosis
A15,4,A154,Tuberculosis of intrathoracic lymph nodes,Tuberculosis of intrathoracic lymph nodes,Respiratory tuberculosis
A15,5,A155,"Tuberculosis of larynx, trachea and bronchus","Tuberculosis of larynx, trachea and bronchus",Respiratory tuberculosis
